feature,importance
Contrast,0.17176388
Coarseness,0.10625219
Energy,0.08275667
Correlation,0.0815598
Entropy,0.071946375
Distance,0.06675768
Distance_Contrast_interaction,0.06037352
Distance_Correlation_interaction,0.056484334
Angle_Contrast_interaction,0.053733256
Distance_Angle_interaction,0.034686986
Homogeneity,0.034366246
Distance_Dissimilarity_interaction,0.03308266
Angle,0.032301817
Angle_Dissimilarity_interaction,0.026897829
Distance_Energy_interaction,0.02577051
Distance_Entropy_interaction,0.022699581
Distance_Coarseness_interaction,0.02154467
Distance_Homogeneity_interaction,0.017021904
